DM_max_cosSim,DM_mean_cosSim,DBOW_max_cosSim,DBOW_mean_cosSim,DM_DBOW_max_cosSim,DM_DBOW_mean_cosSim,Annotation
0.63093,0.17733,0.55748,0.4303,0.592,0.361,correct_but_incomplete
0.00156,-0.1126,0.6606,0.42182,0.41592,0.32045,correct
0.09982,0.03019,0.73045,0.53556,0.72811,0.30601,incorrect
0.82723,0.40257,0.60305,0.4967,0.54938,0.47861,incorrect
0.01336,0.01336,0.3464,0.3464,0.03808,0.03808,incorrect
0.05095,0.0006,0.53368,0.47203,0.31062,0.23506,correct
0.30091,0.1392,0.70429,0.47531,0.66698,0.37219,correct
0.24158,-0.00917,0.74989,0.41431,0.68293,0.33264,incorrect
0.99761,0.15251,0.86351,0.35655,0.92332,0.26585,correct
0.1125,0.06462,0.69199,0.46656,0.68259,0.42561,correct_but_incomplete
0.53947,0.2689,0.6405,0.45058,0.58878,0.27456,incorrect
0.3654,-0.01621,0.72539,0.57645,0.29411,0.18155,incorrect
0.1309,-0.06422,0.68007,0.38581,0.59616,0.27729,correct_but_incomplete
0.4448,0.27335,0.48292,0.46928,0.4354,0.35956,correct_but_incomplete
0.35589,0.07664,0.74962,0.64786,0.52232,0.43242,correct_but_incomplete
0.0792,-0.0091,0.71048,0.56825,0.53696,0.32335,correct_but_incomplete
0.0231,-0.0222,0.69258,0.55574,0.68371,0.44074,incorrect
0.80578,0.46264,0.48327,0.34518,0.43628,0.36094,correct
0.06081,-0.08073,0.7893,0.56054,0.61701,0.40051,correct_but_incomplete
-0.04504,-0.25232,0.38133,0.33957,0.28543,0.21311,incorrect
0.13266,-0.025,0.74529,0.53112,0.72941,0.38423,correct
0.17631,-0.15052,0.55172,0.37855,0.54902,0.23934,correct_but_incomplete
0.09414,0.06292,0.61869,0.34659,0.44967,0.17847,correct_but_incomplete
0.39057,0.07101,0.80032,0.66487,0.60509,0.51457,correct
0.02578,0.02534,0.02627,0.01288,0.02001,0.00998,correct
0.35044,0.10974,0.64026,0.52981,0.42214,0.35312,incorrect
0.93633,0.3189,0.71963,0.44666,0.74669,0.44574,incorrect
0.73322,0.28287,0.6557,0.4284,0.60769,0.3774,correct_but_incomplete
0.03144,-0.00902,0.76557,0.64556,0.73915,0.49655,correct
0.20384,0.0731,0.10895,0.05559,0.10367,0.04408,incorrect
0.31371,0.0392,0.70508,0.56348,0.66961,0.46268,contradictory
0.26247,0.04359,0.56402,0.4399,0.47196,0.37554,incorrect
0.34311,0.05391,0.78883,0.54805,0.23628,0.11303,correct_but_incomplete
0.33175,0.15417,0.61862,0.4775,0.5361,0.31496,correct
0.05553,0.01386,0.68763,0.43996,0.6688,0.35938,correct
0.15323,0.07277,0.63022,0.49492,0.62203,0.41738,correct_but_incomplete
0.07775,0.03803,0.64574,0.5045,0.6293,0.30055,incorrect
0.31831,0.02098,0.71034,0.45107,0.52822,0.3065,correct
0.08961,-0.09494,0.6104,0.44848,0.36044,0.23481,incorrect
0.05522,-0.00633,0.48454,0.45631,0.20328,0.12267,correct
0.00081,-0.02742,0.70886,0.30538,0.60913,0.26951,correct
0.31513,0.10948,0.67546,0.43126,0.43481,0.28131,contradictory
0.04255,0.04255,-0.06629,-0.06629,-0.03429,-0.03429,contradictory
0.05678,-0.03473,0.07023,-0.00158,0.06311,-0.0147,correct_but_incomplete
0.88348,0.30669,0.77095,0.42044,0.73952,0.40538,correct
0.39304,0.02862,0.57968,0.48068,0.49458,0.35899,contradictory
0.07877,0.00689,0.65743,0.42535,0.47079,0.23564,correct
0.09019,0.03735,0.0146,-0.03484,0.02619,-0.00423,incorrect
0.13439,0.13439,0.00049,0.00049,0.0066,0.0066,incorrect
0.22703,0.0839,0.55617,0.4742,0.48998,0.41487,correct_but_incomplete
0.16175,0.07447,0.48763,0.38903,0.35887,0.26974,correct_but_incomplete
0.12033,0.03613,0.06033,0.0493,0.04479,0.02669,correct
0.01972,-0.08367,0.41055,0.27112,0.37016,0.19792,incorrect
0.49778,0.12018,0.5825,0.35537,0.53136,0.35685,contradictory
0.11815,0.037,0.74926,0.58648,0.5134,0.37142,correct_but_incomplete
0.09349,-0.04579,0.61663,0.55463,0.55805,0.40081,correct
-0.02644,-0.08638,0.39296,0.19384,0.27868,0.06298,correct
0.07783,-0.02551,0.68421,0.44269,0.49456,0.2551,correct
0.33595,0.07269,0.75998,0.56757,0.61578,0.35238,incorrect
0.14688,-0.03341,0.53768,0.35269,0.40829,0.23708,incorrect
0.41482,0.15567,0.47351,0.43524,0.40095,0.31636,correct
0.31842,0.08684,0.12815,0.00107,0.17856,0.04031,correct_but_incomplete
0.38204,0.21162,0.60577,0.52506,0.44807,0.28985,correct
-0.03907,-0.03907,-0.03192,-0.03192,-0.0349,-0.0349,incorrect
0.1302,0.0128,0.70739,0.60754,0.67105,0.57814,incorrect
0.05456,-0.00787,0.3958,0.17525,0.37572,0.159,incorrect
